--- TEAM OVERVIEW ---
team_id,team_name,offense,defense,chemistry,injury_risk,variance,strength,tournament_price
1,Team_1,0.72,0.413,0.538,0.134,0.15,0.613,0.21
2,Team_2,0.695,0.416,0.447,0.14,0.124,0.586,0.16
3,Team_3,0.758,0.751,0.61,0.27,0.063,0.722,25.86
4,Team_4,0.779,0.48,0.611,0.167,0.051,0.664,16.02
5,Team_5,0.451,0.59,0.579,0.206,0.06,0.57,0.29
6,Team_6,0.765,0.668,0.887,0.227,0.115,0.761,35.78
7,Team_7,0.689,0.752,0.423,0.137,0.065,0.681,9.93
8,Team_8,0.828,0.833,0.59,0.272,0.168,0.767,5.13
9,Team_9,0.585,0.505,0.533,0.562,0.133,0.529,0.0
10,Team_10,0.667,0.522,0.631,0.162,0.186,0.642,0.26
11,Team_11,0.742,0.821,0.788,0.137,0.016,0.793,89.72
12,Team_12,0.601,0.433,0.857,0.34,0.146,0.611,0.23
13,Team_13,0.728,0.598,0.857,0.275,0.06,0.714,18.56
14,Team_14,0.772,0.669,0.774,0.257,0.121,0.737,23.42
15,Team_15,0.51,0.899,0.655,0.055,0.019,0.721,32.56
16,Team_16,0.476,0.48,0.74,0.358,0.083,0.555,0.1
17,Team_17,0.665,0.886,0.83,0.007,0.147,0.814,30.43
18,Team_18,0.784,0.57,0.547,0.095,0.011,0.691,25.87
19,Team_19,0.886,0.781,0.654,0.064,0.129,0.816,33.65
20,Team_20,0.476,0.781,0.67,0.467,0.111,0.615,0.52
21,Team_21,0.699,0.644,0.456,0.218,0.197,0.646,0.16
22,Team_22,0.52,0.52,0.684,0.047,0.149,0.618,0.29
23,Team_23,0.889,0.666,0.463,0.396,0.19,0.694,0.46
24,Team_24,0.533,0.836,0.612,0.127,0.112,0.691,5.33
25,Team_25,0.756,0.599,0.736,0.224,0.181,0.708,1.97
26,Team_26,0.461,0.512,0.569,0.353,0.054,0.526,0.08
27,Team_27,0.404,0.754,0.429,0.04,0.016,0.597,5.29
28,Team_28,0.435,0.519,0.734,0.129,0.035,0.585,1.18
29,Team_29,0.521,0.636,0.604,0.057,0.135,0.635,1.48
30,Team_30,0.612,0.634,0.765,0.404,0.197,0.647,0.2
31,Team_31,0.43,0.764,0.8,0.066,0.046,0.68,13.38
32,Team_32,0.47,0.492,0.631,0.525,0.024,0.51,0.06

--- ROUND 1 MATCHUPS ---
match_id,round,team_A,team_B,team_A_price,team_B_price
1,1,Team_20,Team_23,52.58,47.42
2,1,Team_7,Team_29,81.5,18.5
3,1,Team_21,Team_4,4.58,95.42
4,1,Team_17,Team_28,91.58,8.42
5,1,Team_26,Team_2,43.17,56.83
6,1,Team_1,Team_32,58.67,41.33
7,1,Team_30,Team_13,11.67,88.33
8,1,Team_9,Team_22,25.92,74.08
9,1,Team_8,Team_31,37.67,62.33
10,1,Team_6,Team_10,95.08,4.92
11,1,Team_27,Team_18,14.25,85.75
12,1,Team_5,Team_15,3.83,96.17
13,1,Team_12,Team_11,0.08,99.92
14,1,Team_19,Team_14,66.0,34.0
15,1,Team_25,Team_16,75.58,24.42
16,1,Team_24,Team_3,20.92,79.08
