player_id,total_payout
p033,959.49
p029,908.17
p014,1015.23
p016,1391.92
p027,-2049.69
p007,1331.12
p025,-18.06
p006,711.64
p036,-1570.54
p012,-535.89
p039,2284.37
p008,1615.1
p026,-1398.98
p028,2138.46
p024,-2647.51
p021,2610.04
p011,-1056.83
p040,842.81
p009,1582.74
p031,-1515.62
p002,385.69
p038,2433.58
p037,-939.8
p005,-670.16
p034,1596.86
p017,728.41
p032,-326.1
p030,-1861.57
p035,1741.24
p001,258.83
p019,181.25
p013,-727.02
p004,-477.64
p015,879.46
p020,-2287.9
p023,430.64
p010,-813.51
p018,1292.76
p003,1308.01
p022,-311.04
