team_id,old_price,new_price,buys,sells,slip
Team_1,52.58,52.05,64.0,62.0,0.04
Team_2,81.5,84.76,38.0,41.0,-0.06
Team_3,4.58,5.95,59.0,46.0,0.2
Team_4,91.58,119.05,125.0,31.0,0.2
Team_5,43.17,39.28,54.0,56.0,-0.04
Team_6,58.67,66.88,99.0,97.0,0.04
Team_7,11.67,11.09,23.0,23.0,0.0
Team_8,25.92,28.77,84.0,76.0,0.16
Team_9,37.67,28.25,35.0,72.0,-0.2
Team_10,95.08,71.31,76.0,89.0,-0.2
Team_11,14.25,12.83,34.0,58.0,-0.2
Team_12,3.83,4.4,94.0,53.0,0.2
Team_13,0.08,0.06,47.0,70.0,-0.2
Team_14,66.0,75.9,67.0,54.0,0.2
Team_15,75.58,59.71,46.0,54.0,-0.16
Team_16,20.92,24.06,55.0,18.0,0.2
Team_17,30.43,28.91,0,0,0.0
Team_18,25.87,28.46,0,0,0.0
Team_19,33.65,31.97,0,0,0.0
Team_20,0.52,0.49,0,0,0.0
Team_21,0.16,0.15,0,0,0.0
Team_22,0.29,0.32,0,0,0.0
Team_23,0.46,0.44,0,0,0.0
Team_24,5.33,5.06,0,0,0.0
Team_25,1.97,1.87,0,0,0.0
Team_26,0.08,0.08,0,0,0.0
Team_27,5.29,5.03,0,0,0.0
Team_28,1.18,1.12,0,0,0.0
Team_29,1.48,1.63,0,0,0.0
Team_30,0.2,0.19,0,0,0.0
Team_31,13.38,12.71,0,0,0.0
Team_32,0.06,0.06,0,0,0.0
